97286,110413,281090,281272
97237,110363,161046,161232
97275,110401,201097,201279
97274,110401,161083,161269
97262,110389,401066,401248
97265,110391,341069,341251
97277,110404,441081,441263
97296,110422,361100,361282
97276,110402,301080,301262
97323,110449,541127,541309
97279,110406,221084,221266
97293,110419,161102,161288
97286,110412,181096,181282
97276,110403,221081,221263
97288,110414,361092,361274
97270,110397,421075,421257
97284,110411,481088,481270
97255,110381,681059,681241
97300,110426,1021104,1021290
97290,110417,141094,141276
97295,110421,381099,381281
97291,110418,401095,401277
97293,110420,541097,541279
97261,110387,781065,781249
97287,110414,181097,181283
97264,110390,241068,241250
97254,110380,641058,641240
97294,110421,221099,221281
97281,110408,141085,141267
97297,110424,261101,261283
97292,110419,521097,521279
97269,110396,281073,281255
97288,110415,221093,221275
97297,110424,721102,721286
97302,110428,461106,461288
97287,110413,641091,641273
97287,110413,481091,481273
97275,110401,501079,501261
97290,110416,381094,381276
97305,110431,321110,321292
97282,110408,861086,861270
97301,110427,801105,801289
97268,110395,301072,301254
97261,110387,1141066,1141252
97257,110383,2201061,2201247
