97030,213747,3721149,3728854
97027,213744,2221146,2228847
97063,213780,1721182,1728883
97037,213754,2221156,2228857
97027,213744,1721146,1728847
97047,213764,1221166,1228867
97047,213764,1721166,1728871
97050,213767,2221169,2228874
97040,213757,213976,221853
97057,213774,1221176,1228877
97030,213764,721149,728850
97035,213752,2721154,2728859
97037,213771,721156,728857
97030,213747,721151,728876
97043,213760,721162,728863
97034,213751,3221153,3228854
97034,213751,2721153,2728854
97043,213760,1721162,1728867
97053,213770,1721172,1728877
97044,213761,721165,728890
97026,213743,721145,728846
97025,213742,1221145,1228845
97007,213724,1721128,1728857
97035,213752,2721154,2728862
97037,213754,8221157,8228857
97043,213760,6221162,6228867
97002,213719,3721122,3728826
97027,213744,4221148,4228849
97029,213746,721150,728874
97038,213755,721159,728884
97034,213751,1221155,1228888
97045,213762,213981,221858
97016,213733,213952,221829
97027,213743,721146,728846
97010,213727,3721129,3728829
97015,213731,2221134,2228838
97042,213759,721161,728862
97026,213767,5221147,5228872
97063,213780,6221184,6228909
97030,213747,4721149,4728850
97034,213751,6221155,6228880
97016,213733,7221135,7228836
97038,213755,4221157,4228858
97052,213354,9396139,9405011
97032,213749,14221151,14228860
