103756,110406,2516131,2946254
103766,110417,2516142,2946265
103752,110402,2116127,2466251
103741,110391,2016116,2396244
103730,110380,3516105,3896229
103721,110371,3216096,3606220
103727,110377,1016102,1446225
103746,110396,1116121,1526249
103718,110368,4416093,4766217
103755,110405,3716130,4066254
103727,110377,2216102,2606225
103745,110395,8716120,9106244
103751,110401,1916136,2296250
103727,110377,2316102,2706226
103729,110379,3416104,3826224
103736,110386,3716111,4156235
103750,110400,1916135,2276245
103749,110399,3216124,3626248
103718,110368,716093,1156216
103741,110391,2516116,2936240
103722,110372,3116097,3536221
103740,110390,716115,1156239
103743,110393,2816118,3176242
103768,110418,2916143,3356271
103751,110401,4416126,4836246
103742,110392,1116117,1516244
103745,110395,2316120,2696244
103757,110407,816132,1196255
103734,110384,1716109,2126232
103722,110372,3216097,3616221
103754,110404,616129,1026253
103742,110392,2016117,2416244
103728,110378,3116103,3486226
103764,110414,716139,1086262
103778,110428,4316153,4736277
103735,110385,2916110,3286229
103757,110407,3916132,4266256
103740,110390,3016115,3436239
103714,110364,211164,666211
110391,110391,816116,1246236
103737,110388,2316113,2696237
103735,110385,2216110,2656233
103738,110388,816113,1216237
103686,110336,4616061,5066185
103752,110402,916127,1316255
